作品ID,作品名,作品名読み,分類番号,文字遣い種別,人物ID,姓,名,姓読み,名読み,テキストファイルURL,XHTML/HTMLファイルURL
000046,春の夜,はるのよる,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/46_ruby_1431.zip,https://www.aozora.gr.jp/cards/000879/files/46_15233.html
000024,尾生の信,びせいのしん,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/24_ruby_877.zip,https://www.aozora.gr.jp/cards/000879/files/24_15235.html
000054,ひょっとこ,ひょっとこ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/54_ruby_741.zip,https://www.aozora.gr.jp/cards/000879/files/54_15238.html
000052,不思議な島,ふしぎなしま,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/52_ruby_1168.zip,https://www.aozora.gr.jp/cards/000879/files/52_15239.html
000165,二つの手紙,ふたつのてがみ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/165_ruby_829.zip,https://www.aozora.gr.jp/cards/000879/files/165_15240.html
000051,文放古,ふみほご,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/51_ruby_1134.zip,https://www.aozora.gr.jp/cards/000879/files/51_15242.html
000053,冬,ふゆ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/53_ruby_1557.zip,https://www.aozora.gr.jp/cards/000879/files/53_15243.html
000027,文章,ぶんしょう,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/27_ruby_1126.zip,https://www.aozora.gr.jp/cards/000879/files/27_15245.html
000050,報恩記,ほうおんき,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/50_ruby_932.zip,https://www.aozora.gr.jp/cards/000879/files/50_15246.html
000095,魔術,まじゅつ,NDC K913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/95_ruby_885.zip,https://www.aozora.gr.jp/cards/000879/files/95_15247.html
043017,蜜柑,みかん,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/43017_ruby_17394.zip,https://www.aozora.gr.jp/cards/000879/files/43017_17431.html
001125,三つの窓,みっつのまど,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/1125_ruby_14123.zip,https://www.aozora.gr.jp/cards/000879/files/1125_14253.html
