書誌ID	タイトル	副題	巻号	責任表示	出版者	出版年	ISBN	判型	ページ数	ジャンル1	ジャンル2	ジャンル3	ジャンル4	責任表示ID
BK_20289128	アフリカ21世紀	内戦・越境・隔離の果てに		NHK｢アフリカ｣プロジェクト|著	日本放送出版協会	2002	4140806931	20cm	245	3 社会科学	302	0030		00257035
BK_20289137	逆18禁			山田祐輔|著	文芸社	2002	4835539311	20cm	248	0 総記	049	0095		00881674
BK_20289185	リースの基本がわかる本			森住祐治|著	日本能率協会マネジメントセンター	2002	4820740857	21cm	221	6 産業	673	2034		00149393
BK_20289189	農家農業地域を変えるファーマーズマーケットの戦略的展開			二木季男，小山周三，坂野百合勝|著	家の光教会	2002	4259517821	21cm	239	6 産業	611	0036		00539491;00102823;00106224
BK_20289191	だんぜんオトク！中古パソコン購入ガイド	For Windows　買って安心！使って納得！中古パソコンが変わった！		川原白水|著	池田書店	2002	4262140385	21cm	200	5 技術・工学	548	2055		00856462
BK_20289252	論語と日本の政治			宇野精一|著	明治書院	2002	4625683270	19cm	262	1 哲学	123	0095		00088797
BK_20289259	定年と読書	知的生き方をめざす発想と方法		鷲田小彌太|著	文芸社	2002	4835539923	19cm	240	0 総記	019	0095		00090432
BK_20289274	戦略的事業撤退			日沖健|著	NTT出版	2002	4757120842	20cm	215	3 社会科学	336	0034		00734030
BK_20289276	からくり民主主義			高橋秀実|著	草思社	2002	4794211368	20cm	285	3 社会科学	304	0036		00252609
BK_20289284	大航海時代の東南アジア	1450-1680年	2	アンソニー・リード|著;平野秀秋，田中優子|訳	法政大学出版局	2002	4588005715	20cm	574	2 歴史	223	1322		00662903;00010936;00161605
BK_20289288	肉食タブーの世界史			フレデリック，J.シムーンズ|著;山内昶|監訳;香ノ木隆臣，山内彰，西川隆|訳	法政大学出版局	2001	4588007092	20cm	672	3 社会科学	383	1320		00882077;00094496;00882076;00426995;00721893
BK_20289304	民間伝承と創作文学	人間像・主題設定・形式努力		マックス・リューティ|著;高木昌史|訳	法政大学出版局	2001	4588007297	20cm	423	3 社会科学	388	1398		00448238;00399146
BK_20289308	挑発する肉体			ハンス・ペーター・デュル|著;藤代幸一，津山拓也|訳	法政大学出版局	2002	4588007335	20cm	691	3 社会科学	384	0320		00465837;00219916;00342202
BK_20289320	スタンダード法学・憲法			大矢吉之，奥村文男|編	法律文化社	2002	4589025698	21cm	218	3 社会科学	321	1032		00217275;00882281
BK_20289336	統合的ショート・プログラムの展開			伊藤啓一，名古屋グループ|著	明治図書出版	2002	4188050187	21cm	136	3 社会科学	375	3337		00202789
BK_20289341	やさしいJava		活用編	高橋麻奈|著	ソフトバンクパブリッシング	2002	4797320508	21cm	393	0 総記	007	0055		00717740
BK_20289411	愛と幻想のニュータウン	ある整形外科医がみた風景		齋藤清人|著	悠飛社	2001	4946448934	20cm	171	4 自然科学	498	0036		00882464
BK_20289418	検証・石原政権待望論	小泉政治との徹底比較		石原慎太郎研究会|著	現代書館	2002	4768468276	20cm	222	3 社会科学	312	0030		00837070
BK_20289440	未来におきたいものは	鶴見俊輔対談集		鶴見俊輔|著	晶文社	2002	4794948719	20cm	391	3 社会科学	304	0010		00086730
BK_20289457	スペクトラム拡散技術のすべて	CDMAからIMT-2000,Bluetoothまで		松尾憲一|著	東京電機大学出版局	2002	4501322403	21cm	321	5 技術・工学	547	3055		00552892
BK_20289596	エレクトロニクス・エコデザイン	実装の将来		須賀唯知|編著	日刊工業新聞社	2002	4526049581	19cm	212	5 技術・工学	549	3054		00204636
BK_20289609	ユニバーサルデザインの考え方	建築・都市・プロダクトデザイン		梶本久夫|監修;田中直人|ほか著	丸善	2002	4621049704	19cm	172	5 技術・工学	501			00882804;00548830
BK_20289611	スピリチュアル	人類滅亡予言とのリンク		中村隆司|著	たま出版	2002	4812700582	19cm	158	1 哲学	147	0011		00882810
BK_20289612	チャイムが鳴ったら	教育の現場から		長島猛人|著	五曜書房	2002	4795254001	19cm	225	3 社会科学	370	0037		00210369
BK_20289616	イチレツランパン破裂して			高島俊男|著	文藝春秋	2002	4163581707	20cm	300	8 言語	810	0095		00079128
BK_20289619	アスペルガー的人生			リアン・ホリデー・ウィリー|著;ニキ・リンコ|訳	東京書籍	2002	4487797233	20cm	254	9 文学	936	0037		00882842;00809267
BK_20289652	いままた高温超伝導			勝本信吾|責任編集	丸善	2002	4621070428	21cm	163	4 自然科学	427	3342		00883071
BK_20289673	ミタライ・カフェ			島田荘司|著	原書房	2002	4562034939	21cm	324	9 文学	914	0093		00122924
BK_20289684	現代日本の政治と行政			本田雅俊|著	北樹出版	2001	4893848291	22cm	216	3 社会科学	312	3031		00883249
BK_20289984	南海電気鉄道			藤井信夫|解説;井上広和|写真	ネコ・パブリッシング	2002	4873663067	19cm	189	5 技術・工学	546	0065		00207566;00121129
BK_20289985	東武鉄道			卓はじめ|解説;諸河久|写真	ネコ・パブリッシング	2002	4873663075	19cm	188	5 技術・工学	546	0065		00885573;00104185
BK_20290028	美尻先生愛のデュエット			睦月影郎|著	パラダイム	2002	4894905558	18cm	236	9 文学	913	0093		00140439
BK_20290031	熱球児	高校球児物語		吉野道男|著	文芸社	2002	4835540239	19cm	263	9 文学	913	0093		00885758
BK_20290036	最高の名前が見つかる赤ちゃんの命名事典			田宮規雄|著	小学館	2002	4093033137	21cm	320	1 哲学	148	2377		00257577
BK_20290111	な・つ・み	深愛の丘へ		野上かおり|著	健友館	2002	4773706449	20cm	288	9 文学	913	0093		00886090
BK_20290126	[ノスリ]の巣			逢坂剛|著	集英社	2002	4087745902	20cm	517	9 文学	913	0093		00113256
BK_20290131	つきぢ田村の日本料理厳選300レシピ事典			｢つきぢ田村｣調理部|著	旭屋出版	2001	475110280X	21cm	335	5 技術・工学	596	2077		00663246
BK_20290329	押し花工房			栗原佳子|著	世界文化社	2002	4418021213	26cm	97	5 技術・工学	594			00816988
BK_20290381	がん告知の手引き	真実を伝え、支えるための		小川道雄|編著	真興交易医書出版部	2002	488003682X	26cm	186	4 自然科学	494	3047		00105254
BK_20290422	文化会計学	国際会計の一展開		木下照嶽，中島照雄，柳田仁|編著	税務経理協会	2002	4419040882	21cm	298	3 社会科学	336	1063		00102295;00683911;00127512
BK_20290434	メン・イン・ブラック		2	エスター・M.フライスナー|著;ロバート・ゴードン|原案;ロバート・ゴードン，バリー・ファナロ|脚本;石川順子|訳	ソニー・マガジンズ	2002	4789718808	15cm	339	9 文学	933	0197		00886519;00886571;00886516;00313965
BK_20290496	痛快！ゴルフ学			鈴木康之，杉山通敬，藤岡三樹臣|著	集英社インターナショナル;集英社(発売)	2002	479767041X	26cm	343	7 芸術・美術	783	0067		00173855;00107162;00886456
BK_20290563	ばいおれんす・まじかる！	核の花咲く日曜日		林トモアキ|著	角川書店	2002	4044266034	15cm	255	9 文学	913	0193		00856605
BK_20290606	道元	小説		水嶋元|著	東洋出版	2002	4809673766	20cm	412	9 文学	913	0093		00739847
BK_20291033	きみという名の魔法			マーガレット・ウェイ|作;槙由子|訳	ハーレクイン	2002	4596117926	17cm	156	9 文学	933	0297		00460334
BK_20291136	タバコの教科書	知っておきたい喫煙の危険性		白石尚|著	福音社;三育協会(発売)	2002	4892220930	21cm	129	4 自然科学	498	0037		00145883
BK_20291152	建設業許可Q&A	新規・更新・追加・変更等の手続きから、経営戦略まで		全国建設関係行政書士協議会|編著	日刊建設通信新聞社	2001	4930738806	26cm	276	5 技術・工学	510	2034		00378322
BK_20291174	貸金業白書		平成13年版	全国貸金業協会連合会企画調査委員会|編	全国貸金業協会連合会	2002		30cm	214	3 社会科学	338			00309784
BK_20291293	河川文化	河川文化を語る会講演集	その9		日本河川協会	2002		19cm	209	5 技術・工学	517			00281523
BK_20291298	酒のかたみに	酒で綴る亡き作家の半生史	続	高山惠太郎|監修	たる出版	2002	4924713686	22cm	297	9 文学	910	0096		00533184
BK_20291303	著作権法入門		平成14年版	文化庁|編著	著作権情報センター	2002	4885260361	21cm	364	0 総記	021	3032		00263532
BK_20291311	講座集復刻版		第4集・第5集	亀井進|述;姿勢保健均整師会|復刻編集	身体均整協会	2002		26cm	291	4 自然科学	492			00025352;00712049
BK_20291537	信長と信玄			津本陽|著	角川書店	2001	4041713218	15cm	270	9 文学	914	0195		00108532
BK_20291918	いっきにできる！CD-R/RW	Windows Me			宝島社	2001	4796623981	26cm	127	5 技術・工学	548	9404		
BK_20291919	激選！インターネット最新(秘)奥義	Windows 98/Me・Internet Explorer 5.5対応			宝島社	2001	4796623698	28cm	128	5 技術・工学	547	9404		
BK_20291991	桃源郷		上(西遷編)	陳舜臣|著	集英社	2001	4087745503	20cm	350	9 文学	913	0093		00084124
BK_20291994	日本の首都江戸・東京	都市づくり物語		河村茂|著	都政新報社	2001	4886140610	20cm	287	5 技術・工学	518	3030		00760146
BK_20291996	わがまち新名所			札幌市教育委員会|編	北海道新聞社	2001	4894531747	20cm	316	2 歴史	291	0324		00260756
BK_20292011	20世紀放送史		下	日本放送協会|編	日本放送出版協会	2001	4140071990	31cm	632	6 産業	699	3065		00257035
BK_20292038	ジュラ電からSL終焉まで	鉄道写真	完	宮澤孝一|写真・文	交通新聞社	2002	4330669013	29cm	215	6 産業	686	9465		00122045
BK_20292110	情報公開事務の手引				沖縄県総務部総務私学課行政情報センター	2001		30cm	213	3 社会科学	318			00258377
BK_20292252	西洋政治思想史	視座と論点		川出良枝，山岡龍一|著	放送大学教育振興会	2001	4595538650	21cm	232	3 社会科学	311			00540490;00825912
BK_20292285	海外ブラックロード			嵐よういち|著	彩図社	2002	4883922421	15cm	135	2 歴史	290	0195		00886338
BK_20292292	天気の不思議がわかる本			嶋村克，山内豊太郎|著	廣済堂出版	2002	4331653161	16cm	321	4 自然科学	451	0140		00212624;00212853
BK_20292293	ためしてガッテン効果がすぐ出る安心健康法			NHK｢ためしてガッテン｣|編	廣済堂出版	2002	4331653188	16cm	301	4 自然科学	498	0177		00257035
BK_20292310	アメリカの落日	｢戦争と正義｣の正体		日下公人，清谷信一|著	廣済堂出版	2002	4331508625	20cm	271	3 社会科学	304	0031		00038587;00350261
BK_20292312	対論：日本とアメリカ			岡崎久彦，阿川尚之|著	廣済堂出版	2002	4331508366	20cm	274	3 社会科学	319	0031		00060178;00159049
BK_20292399	Pocket PCパワーアップキット		2002年度版	WindowsCE FAN|著;ソフトバンクパブリッシング|編	ソフトバンクパブリッシング	2002	479731821X	24cm	194	5 技術・工学	548	0055		00878248;00878248;00731778
BK_20292435	松下がソニーを超える日			大富敬康|著	サンマーク出版	2001	4763193996	20cm	285	5 技術・工学	542	0030		00865435
BK_20292450	泣くより怒れ			佐高信|著	毎日新聞社	2002	4620315648	20cm	286	3 社会科学	304	0036		00067796
BK_20292489	下駄	神のはきもの		秋田裕毅|著	法政大学出版局	2002	4588210416	20cm	295	3 社会科学	383	0320		00130783
BK_20292490	絣			福井貞子|著	法政大学出版局	2002	4588210513	20cm	294	3 社会科学	383	0320		00014045
BK_20292491	スペインの墓標			五木寛之|著	東京書籍	2002	4487797632	20cm	425	9 文学	915	0095		00023435
