サンプルID	記事ID	人名ID	役割	初刊情報	初出情報
LBa9_00011	LBa9_00011_V001	16724	実著者	1977	1977
LBa9_00011	LBa9_00011_V001	81292	実著者	1977	1977
LBa9_00012	LBa9_00012_F001	66467	実著者	1983	
LBa9_00012	LBa9_00012_V001	66467	実著者	1983	
LBa9_00013	LBa9_00013_F001	135316	実著者	1974	
LBa9_00013	LBa9_00013_V001	135316	実著者	1974	
LBa9_00014	LBa9_00014_F001	102186	実著者	1986	1985
LBa9_00014	LBa9_00014_V001	102186	実著者	1986	1985
LBa9_00016	LBa9_00016_F001	159237	実著者	1986	1985
LBa9_00016	LBa9_00016_V001	159237	実著者	1986	1985
LBa9_00017	LBa9_00017_F001	104237	実著者	1983	1982
LBa9_00017	LBa9_00017_V001	104237	実著者	1983	1982
LBa9_00019	LBa9_00019_F001	87257	実著者	1982	
LBa9_00019	LBa9_00019_V001	87257	実著者	1982	
LBa9_00021	LBa9_00021_F001	55252	実著者	1986	1986
LBa9_00021	LBa9_00021_V001	55252	実著者	1986	1986
LBa9_00023	LBa9_00023_F001	83116	実著者	1973	
LBa9_00023	LBa9_00023_V001	83116	実著者	1973	
LBa9_00024	LBa9_00024_F001	161026	実著者	1986	
LBa9_00024	LBa9_00024_F002	161026	実著者	1986	
LBa9_00024	LBa9_00024_V001	161026	実著者	1986	
LBa9_00025	LBa9_00025_F001	94164	実著者	1956	
LBa9_00025	LBa9_00025_V001	94164	実著者	1956	
LBa9_00026	LBa9_00026_F001	13577	訳者	1986	
LBa9_00026	LBa9_00026_F001	439999	原著者	1986	
LBa9_00026	LBa9_00026_V001	13577	訳者	1986	
LBa9_00026	LBa9_00026_V001	439999	原著者	1986	
LBa9_00027	LBa9_00027_F001	145644	訳者	1986	
LBa9_00027	LBa9_00027_F001	442401	原著者	1986	
LBa9_00027	LBa9_00027_V001	145644	訳者	1986	
LBa9_00027	LBa9_00027_V001	442401	原著者	1986	
LBa9_00028	LBa9_00028_F001	130494	実著者	1986	
LBa9_00028	LBa9_00028_V001	130494	実著者	1986	
LBa9_00031	LBa9_00031_F001	117234	実著者	1986	1983
LBa9_00031	LBa9_00031_V001	117234	実著者	1986	1983
LBa9_00032	LBa9_00032_F001	11648	実著者	1986	
LBa9_00032	LBa9_00032_V001	11648	実著者	1986	
LBa9_00034	LBa9_00034_F001	82373	実著者	1986	
LBa9_00034	LBa9_00034_V001	82373	実著者	1986	
LBa9_00038	LBa9_00038_F001	16840	実著者	1986	1974-1976
LBa9_00038	LBa9_00038_V001	16840	実著者	1986	1974-1976
LBa9_00039	LBa9_00039_F001	84124	実著者	1986	1984
LBa9_00039	LBa9_00039_V001	84124	実著者	1986	1984
LBa9_00040	LBa9_00040_F001	5849	実著者	1986	
LBa9_00040	LBa9_00040_V001	5849	実著者	1986	
LBa9_00041	LBa9_00041_F001	11076	訳者	1986	
LBa9_00041	LBa9_00041_F001	460464	原著者	1986	
LBa9_00041	LBa9_00041_V001	11076	訳者	1986	
LBa9_00041	LBa9_00041_V001	460464	原著者	1986	
LBa9_00042	LBa9_00042_F001	1	実著者	1986	
LBa9_00042	LBa9_00042_V001	1	実著者	1986	
LBa9_00043	LBa9_00043_F001	84124	実著者	1986	1974
LBa9_00043	LBa9_00043_V001	84124	実著者	1986	1974
LBa9_00044	LBa9_00044_F001	82609	実著者	1986	
LBa9_00044	LBa9_00044_F001	137287	実著者	1986	
LBa9_00044	LBa9_00044_V001	82609	実著者	1986	
LBa9_00044	LBa9_00044_V001	137287	実著者	1986	
LBa9_00045	LBa9_00045_F001	0	原著者	1986	
LBa9_00045	LBa9_00045_F001	93163	訳者	1986	
LBa9_00045	LBa9_00045_V001	0	原著者	1986	
LBa9_00045	LBa9_00045_V001	93163	訳者	1986	
LBa9_00048	LBa9_00048_F001	96229	実著者	1986	1985
LBa9_00048	LBa9_00048_V001	96229	実著者	1986	1985
LBa9_00049	LBa9_00049_F001	73575	実著者	1986	1984-1985
LBa9_00049	LBa9_00049_V001	73575	実著者	1986	1984-1985
LBa9_00050	LBa9_00050_F001	81099	実著者	1976	1974-1975
LBa9_00050	LBa9_00050_F002	81099	実著者	1976	1974-1975
LBa9_00050	LBa9_00050_V001	81099	実著者	1976	1974-1975
LBa9_00051	LBa9_00051_F001	103020	実著者	1986	
LBa9_00051	LBa9_00051_V001	103020	実著者	1986	
LBa9_00052	LBa9_00052_F001	3048	実著者	1983	
LBa9_00052	LBa9_00052_V001	3048	実著者	1983	
LBa9_00055	LBa9_00055_F001	35193	実著者	1983	
LBa9_00055	LBa9_00055_V001	35193	実著者	1983	
LBa9_00056	LBa9_00056_F001	21972	実著者	1986	1985
LBa9_00056	LBa9_00056_V001	21972	実著者	1986	1985
LBa9_00057	LBa9_00057_F001	90387	実著者	1986	1984
LBa9_00057	LBa9_00057_V001	90387	実著者	1986	1984
LBa9_00058	LBa9_00058_F001	53798	実著者	1986	
LBa9_00058	LBa9_00058_V001	53798	実著者	1986	
LBa9_00062	LBa9_00062_F001	128768	実著者	1984	1982-1983
LBa9_00062	LBa9_00062_V001	128768	実著者	1984	1982-1983
LBa9_00064	LBa9_00064_F001	87251	実著者	1977	
LBa9_00064	LBa9_00064_V001	87251	実著者	1977	
LBa9_00065	LBa9_00065_F001	67136	実著者	1986	
LBa9_00065	LBa9_00065_V001	67136	実著者	1986	
LBa9_00067	LBa9_00067_F001	129352	実著者	1986	1984-1985
LBa9_00067	LBa9_00067_F002	129352	実著者	1986	1984-1985
LBa9_00067	LBa9_00067_V001	129352	実著者	1986	1984-1985
LBa9_00068	LBa9_00068_F001	35340	実著者	1986	
LBa9_00068	LBa9_00068_V001	35340	実著者	1986	
LBa9_00071	LBa9_00071_F001	99932	実著者	1986	1984
LBa9_00071	LBa9_00071_V001	99932	実著者	1986	1984
LBa9_00072	LBa9_00072_F001	128459	実著者	1984	1984
LBa9_00072	LBa9_00072_V001	128459	実著者	1984	1984
